source,target,Edge Type,source_genre,source_year,target_genre,target_year
4511,14994,CoverOf,Synthpop,2027,Indie Folk,1997
4517,16618,LyricalReferenceTo,Doom Metal,2013,Indie Folk,1994
4517,9115,CoverOf,Doom Metal,2013,,
4534,6322,InterpolatesFrom,Dream Pop,2023,Desert Rock,2013
4541,4046,CoverOf,Psychedelic Rock,2023,,
4541,6257,CoverOf,Psychedelic Rock,2023,Doom Metal,2020
4541,445,InterpolatesFrom,Psychedelic Rock,2023,,
4541,12515,InterpolatesFrom,Psychedelic Rock,2023,,
4547,11141,LyricalReferenceTo,Psychedelic Rock,2020,,
4547,14202,InterpolatesFrom,Psychedelic Rock,2020,Psychedelic Rock,2017
4557,3512,InterpolatesFrom,Avant-Garde Folk,2015,Indie Pop,2013
4557,7707,InStyleOf,Avant-Garde Folk,2015,Avant-Garde Folk,1997
4559,9637,InStyleOf,Americana,2023,Dream Pop,2019
4562,5383,InStyleOf,Synthwave,2017,Indie Folk,1984
4571,11640,CoverOf,Indie Folk,2013,Dream Pop,2007
4576,7278,InStyleOf,,,Synthwave,2022
4576,10645,CoverOf,,,Synthwave,2010
4593,1837,InStyleOf,Alternative Rock,2018,Alternative Rock,2013
4593,2510,CoverOf,Alternative Rock,2018,Dream Pop,1981
4593,11718,DirectlySamples,Alternative Rock,2018,Southern Gothic Rock,2013
4593,3270,InStyleOf,Alternative Rock,2018,Speed Metal,2013
4602,14210,InStyleOf,,,Jazz Surf Rock,2000
4602,13421,LyricalReferenceTo,,,Dream Pop,1994
4606,15980,CoverOf,Southern Gothic Rock,2013,Indie Pop,2004
4606,2815,InStyleOf,Southern Gothic Rock,2013,Southern Gothic Rock,2010
4606,12665,CoverOf,Southern Gothic Rock,2013,Southern Gothic Rock,2012
4606,16560,InStyleOf,Southern Gothic Rock,2013,,
4607,8892,InStyleOf,Dream Pop,2028,,
4607,13332,InStyleOf,Dream Pop,2028,Darkwave,2022
4607,8551,InStyleOf,Dream Pop,2028,Desert Rock,2026
4607,3879,InStyleOf,Dream Pop,2028,,
4607,13302,InterpolatesFrom,Dream Pop,2028,Indie Rock,2020
4609,5110,InStyleOf,Avant-Garde Folk,1997,Indie Pop,1991
4613,4571,DirectlySamples,Alternative Rock,2025,Indie Folk,2013
4613,11640,InterpolatesFrom,Alternative Rock,2025,Dream Pop,2007
4614,13681,LyricalReferenceTo,Indie Folk,2023,Indie Folk,2010
4618,2068,InStyleOf,,,Southern Gothic Rock,1996
4624,12947,InStyleOf,Blues Rock,2026,Blues Rock,2010
4624,12273,InterpolatesFrom,Blues Rock,2026,,
4626,14202,InterpolatesFrom,Dream Pop,2020,Psychedelic Rock,2017
4626,14086,DirectlySamples,Dream Pop,2020,Doom Metal,2005
4626,11141,InStyleOf,Dream Pop,2020,,
4626,12397,InterpolatesFrom,Dream Pop,2020,Dream Pop,2007
4631,15104,CoverOf,Southern Gothic Rock,2026,Southern Gothic Rock,2016
4631,1121,InStyleOf,Southern Gothic Rock,2026,Southern Gothic Rock,1997
4639,12759,InStyleOf,Indie Folk,2026,Dream Pop,2013
4639,13324,InStyleOf,Indie Folk,2026,Oceanus Folk,2004
4645,15622,InterpolatesFrom,Desert Rock,2029,Doom Metal,1997
4649,14740,LyricalReferenceTo,Doom Metal,2026,Indie Folk,2013
4649,4239,CoverOf,Doom Metal,2026,,
4650,3688,InStyleOf,Jazz Surf Rock,2028,Doom Metal,2026
4652,16030,InStyleOf,,,Doom Metal,2004
4652,15622,InStyleOf,,,Doom Metal,1997
4658,10211,InStyleOf,,,Space Rock,2021
4658,14202,InStyleOf,,,Psychedelic Rock,2017
4661,6168,InStyleOf,,,Psychedelic Rock,2017
4661,6881,LyricalReferenceTo,,,Synthwave,2020
4675,14569,DirectlySamples,Desert Rock,2020,Synthpop,2017
4675,9884,CoverOf,Desert Rock,2020,Psychedelic Rock,2009
4680,9511,InterpolatesFrom,,,Dream Pop,2010
4687,10246,InterpolatesFrom,Indie Folk,2020,Doom Metal,2010
4701,13154,LyricalReferenceTo,,,Synthwave,1994
4704,6535,InterpolatesFrom,Jazz Surf Rock,2028,Symphonic Metal,2023
4704,10941,DirectlySamples,Jazz Surf Rock,2028,Indie Rock,2025
4718,11672,LyricalReferenceTo,Doom Metal,2023,Post-Apocalyptic Folk,2020
4718,7517,InStyleOf,Doom Metal,2023,Indie Rock,2023
4718,15170,LyricalReferenceTo,Doom Metal,2023,Dream Pop,2022
4725,15025,InterpolatesFrom,Southern Gothic Rock,2025,Southern Gothic Rock,1999
4725,13237,CoverOf,Southern Gothic Rock,2025,,
4728,14118,InterpolatesFrom,,,Indie Folk,2017
4733,15622,InStyleOf,Oceanus Folk,2020,Doom Metal,1997
4733,1841,InStyleOf,Oceanus Folk,2020,Indie Folk,2010
4738,9808,CoverOf,Alternative Rock,2020,Indie Rock,2018
4738,12089,DirectlySamples,Alternative Rock,2020,,
4738,6967,LyricalReferenceTo,Alternative Rock,2020,Jazz Surf Rock,2008
4738,9237,LyricalReferenceTo,Alternative Rock,2020,Jazz Surf Rock,2005
4738,5216,LyricalReferenceTo,Alternative Rock,2020,Jazz Surf Rock,2018
4738,16584,CoverOf,Alternative Rock,2020,Jazz Surf Rock,2015
4742,3451,CoverOf,Psychedelic Rock,2025,,
4752,15839,InStyleOf,Doom Metal,2020,Doom Metal,2017
4758,2937,LyricalReferenceTo,Jazz Surf Rock,2029,Dream Pop,2017
4758,5432,InterpolatesFrom,Jazz Surf Rock,2029,Synthwave,2004
4764,8138,InStyleOf,Space Rock,2024,,
4774,9807,InStyleOf,Lo-Fi Electronica,2029,Lo-Fi Electronica,2017
4774,16670,InterpolatesFrom,Lo-Fi Electronica,2029,Lo-Fi Electronica,2018
4774,12750,CoverOf,Lo-Fi Electronica,2029,Lo-Fi Electronica,2019
4774,8211,CoverOf,Lo-Fi Electronica,2029,Lo-Fi Electronica,2011
4774,13720,LyricalReferenceTo,Lo-Fi Electronica,2029,,
4774,15775,DirectlySamples,Lo-Fi Electronica,2029,Lo-Fi Electronica,2020
4774,15964,LyricalReferenceTo,Lo-Fi Electronica,2029,Avant-Garde Folk,2017
4774,11939,CoverOf,Lo-Fi Electronica,2029,,
4774,14497,InStyleOf,Lo-Fi Electronica,2029,Lo-Fi Electronica,2023
4777,7484,DirectlySamples,Synthwave,2014,,
4781,966,InStyleOf,Lo-Fi Electronica,2003,Lo-Fi Electronica,2003
4788,5295,CoverOf,Synthwave,2007,,
4795,14755,CoverOf,Dream Pop,2029,Americana,2013
4795,13681,InStyleOf,Dream Pop,2029,Indie Folk,2010
4801,16719,LyricalReferenceTo,Psychedelic Rock,2017,,
4805,8274,InStyleOf,Dream Pop,2026,Dream Pop,2020
4814,6006,InterpolatesFrom,Doom Metal,2015,Doom Metal,2004
4818,6006,InterpolatesFrom,Doom Metal,2018,Doom Metal,2004
4821,2996,CoverOf,Dream Pop,2028,Dream Pop,2017
4821,10211,InStyleOf,Dream Pop,2028,Space Rock,2021
4821,12678,CoverOf,Dream Pop,2028,Synthwave,2013
4821,15198,InterpolatesFrom,Dream Pop,2028,Dream Pop,2013
4821,10075,InStyleOf,Dream Pop,2028,Darkwave,2026
4821,2915,LyricalReferenceTo,Dream Pop,2028,,
4821,4541,CoverOf,Dream Pop,2028,Psychedelic Rock,2023
4821,9831,InterpolatesFrom,Dream Pop,2028,Space Rock,2025
4821,4140,DirectlySamples,Dream Pop,2028,Synthwave,2026
4821,445,InterpolatesFrom,Dream Pop,2028,,
4821,467,InterpolatesFrom,Dream Pop,2028,Post-Apocalyptic Folk,2020
4821,4742,InterpolatesFrom,Dream Pop,2028,Psychedelic Rock,2025
4821,7278,LyricalReferenceTo,Dream Pop,2028,Synthwave,2022
4821,4100,InStyleOf,Dream Pop,2028,Psychedelic Rock,2024
4821,3362,CoverOf,Dream Pop,2028,Synthwave,2022
4821,1759,InterpolatesFrom,Dream Pop,2028,Space Rock,2024
4821,585,InterpolatesFrom,Dream Pop,2028,Post-Apocalyptic Folk,2024
4821,8516,InStyleOf,Dream Pop,2028,Psychedelic Rock,2017
4827,6393,CoverOf,Blues Rock,2013,Blues Rock,2007
4839,6367,InterpolatesFrom,Americana,2025,,
4843,11525,DirectlySamples,Indie Folk,2023,Psychedelic Rock,2020
4843,12072,InStyleOf,Indie Folk,2023,Psychedelic Rock,2017
4854,13357,InterpolatesFrom,Southern Gothic Rock,2004,,
4854,4609,InterpolatesFrom,Southern Gothic Rock,2004,Avant-Garde Folk,1997
4854,2792,CoverOf,Southern Gothic Rock,2004,,
4856,14965,LyricalReferenceTo,Synthwave,2013,Doom Metal,2010
4859,3766,CoverOf,Dream Pop,2000,Dream Pop,1992
4861,15702,InStyleOf,Speed Metal,1996,Speed Metal,1985
4862,1508,InterpolatesFrom,Americana,2026,Doom Metal,2018
4862,8593,DirectlySamples,Americana,2026,Doom Metal,2007
4865,4604,InStyleOf,Psychedelic Rock,2017,,
4865,11522,InStyleOf,Psychedelic Rock,2017,,
4870,3139,CoverOf,,,Synthpop,2007
4870,4583,CoverOf,,,Speed Metal,1983
4870,15343,CoverOf,,,Speed Metal,1987
4872,1611,LyricalReferenceTo,,,Indie Rock,2015
4890,7074,CoverOf,Desert Rock,2022,Indie Folk,2017
4890,4818,InStyleOf,Desert Rock,2022,Doom Metal,2018
4892,7116,InterpolatesFrom,Jazz Surf Rock,2027,Doom Metal,2007
4897,1913,InStyleOf,Blues Rock,2016,,
4897,10513,InterpolatesFrom,Blues Rock,2016,Blues Rock,1991
4900,4436,LyricalReferenceTo,Doom Metal,2023,Indie Rock,2020
4900,5584,InterpolatesFrom,Doom Metal,2023,Doom Metal,2010
4900,8561,InStyleOf,Doom Metal,2023,Indie Rock,2013
4903,12397,InterpolatesFrom,Indie Rock,2014,Dream Pop,2007
4909,4961,InStyleOf,,,Indie Pop,2020
4912,13681,InterpolatesFrom,,,Indie Folk,2010
4920,13632,DirectlySamples,Darkwave,2029,Darkwave,2016
4920,13413,InterpolatesFrom,Darkwave,2029,Indie Folk,2022
4920,4381,InStyleOf,Darkwave,2029,Darkwave,2023
4920,13214,DirectlySamples,Darkwave,2029,Darkwave,2026
4920,8894,InStyleOf,Darkwave,2029,Darkwave,2025
4926,10480,InStyleOf,Southern Gothic Rock,2015,Indie Pop,2003
4932,15047,InStyleOf,,,Southern Gothic Rock,1986
4933,12079,InStyleOf,Symphonic Metal,2022,Synthwave,2021
4935,4090,LyricalReferenceTo,Synthwave,2030,Indie Folk,2023
4935,7571,CoverOf,Synthwave,2030,Indie Folk,2020
4935,5425,LyricalReferenceTo,Synthwave,2030,Doom Metal,2013
4935,4498,InterpolatesFrom,Synthwave,2030,Indie Folk,2023
4935,10468,CoverOf,Synthwave,2030,Indie Folk,2020
4937,4992,CoverOf,,,Indie Pop,1997
4937,7036,LyricalReferenceTo,,,Indie Pop,1987
4945,3587,DirectlySamples,,,Doom Metal,2027
4945,3828,InStyleOf,,,,
4945,5952,InterpolatesFrom,,,Indie Rock,2024
4945,4541,InterpolatesFrom,,,Psychedelic Rock,2023
4945,13965,InterpolatesFrom,,,Oceanus Folk,2007
4945,7876,InStyleOf,,,Oceanus Folk,2027
4945,1007,InterpolatesFrom,,,Indie Rock,2027
4945,2567,InStyleOf,,,Post-Apocalyptic Folk,2022
4945,5826,InterpolatesFrom,,,Desert Rock,2020
4950,13681,InStyleOf,Americana,2025,Indie Folk,2010
4955,4046,CoverOf,,,,
4959,9916,CoverOf,Indie Rock,2023,Indie Rock,2018
4959,1244,InStyleOf,Indie Rock,2023,,
4959,4006,InStyleOf,Indie Rock,2023,Indie Rock,2007
4959,2360,InterpolatesFrom,Indie Rock,2023,Indie Rock,2017
4961,15847,InStyleOf,Indie Pop,2020,,
4961,14588,CoverOf,Indie Pop,2020,Avant-Garde Folk,1994
4965,4996,InterpolatesFrom,Synthwave,2020,Synthwave,2001
4969,2863,LyricalReferenceTo,Dream Pop,2017,Indie Rock,2022
4973,11608,InterpolatesFrom,Dream Pop,2024,Americana,2024
4973,14969,InterpolatesFrom,Dream Pop,2024,,
4981,2990,CoverOf,Space Rock,2024,Space Rock,2021
4981,16719,DirectlySamples,Space Rock,2024,,
4985,14994,LyricalReferenceTo,Indie Folk,2026,Indie Folk,1997
4992,7036,InterpolatesFrom,Indie Pop,1997,Indie Pop,1987
4992,2807,InterpolatesFrom,Indie Pop,1997,Blues Rock,1984
5001,1422,DirectlySamples,Indie Rock,1994,Indie Rock,1984
5004,12389,DirectlySamples,Synthwave,2021,Space Rock,2017
5004,8771,InStyleOf,Synthwave,2021,,
5009,16233,LyricalReferenceTo,Dream Pop,2023,Psychedelic Rock,2004
5018,15818,CoverOf,Blues Rock,2016,Alternative Rock,1981
5021,7736,CoverOf,Jazz Surf Rock,2024,,
5021,16707,InterpolatesFrom,Jazz Surf Rock,2024,Space Rock,2021
5028,5891,LyricalReferenceTo,Alternative Rock,2007,Dream Pop,2008
5028,2279,InterpolatesFrom,Alternative Rock,2007,Dream Pop,2005
5029,1748,InterpolatesFrom,Desert Rock,2026,Dream Pop,2023
5029,3697,InterpolatesFrom,Desert Rock,2026,Darkwave,2022
5029,13511,CoverOf,Desert Rock,2026,Doom Metal,2007
5029,5527,InterpolatesFrom,Desert Rock,2026,Psychedelic Rock,2017
5035,6065,LyricalReferenceTo,,,Dream Pop,2029
5035,3828,LyricalReferenceTo,,,,
5035,3898,InterpolatesFrom,,,Desert Rock,2027
5035,12138,LyricalReferenceTo,,,Oceanus Folk,2030
5035,10159,InStyleOf,,,,
5035,15271,InterpolatesFrom,,,Oceanus Folk,2024
5035,13438,InStyleOf,,,Oceanus Folk,2019
5035,11655,LyricalReferenceTo,,,Oceanus Folk,2026
5035,13033,InterpolatesFrom,,,,
5035,1841,InStyleOf,,,Indie Folk,2010
5035,4393,InterpolatesFrom,,,Oceanus Folk,2029
5035,6428,InterpolatesFrom,,,Oceanus Folk,2023
5035,14767,InStyleOf,,,,
5035,16471,InStyleOf,,,Indie Folk,2023
5035,3031,CoverOf,,,,
5035,3520,CoverOf,,,Oceanus Folk,2026
5035,7492,LyricalReferenceTo,,,Desert Rock,2027
5035,3025,LyricalReferenceTo,,,Oceanus Folk,2017
5040,12008,InStyleOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2014
5040,5837,DirectlySamples,Lo-Fi Electronica,2026,Dream Pop,2018
5040,4849,InterpolatesFrom,Lo-Fi Electronica,2026,,
5040,12517,InterpolatesFrom,Lo-Fi Electronica,2026,Lo-Fi Electronica,2007
5040,2167,InStyleOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2007
5046,13062,CoverOf,,,Doom Metal,1994
5046,8785,LyricalReferenceTo,,,Americana,2000
5046,15622,InterpolatesFrom,,,Doom Metal,1997
5051,1955,LyricalReferenceTo,Emo/Pop Punk,1997,Emo/Pop Punk,1985
5051,6315,InStyleOf,Emo/Pop Punk,1997,Emo/Pop Punk,1987
5053,8431,InterpolatesFrom,Jazz Surf Rock,2029,Post-Apocalyptic Folk,2027
5053,4046,LyricalReferenceTo,Jazz Surf Rock,2029,,
5053,8823,InStyleOf,Jazz Surf Rock,2029,Space Rock,2025
5055,1611,InStyleOf,Indie Rock,2029,Indie Rock,2015
5058,1837,LyricalReferenceTo,Lo-Fi Electronica,2021,Alternative Rock,2013
5058,11859,InStyleOf,Lo-Fi Electronica,2021,,
5059,543,InterpolatesFrom,Doom Metal,2023,Doom Metal,2020
5068,6770,InStyleOf,Americana,2026,Americana,2025
5074,8815,DirectlySamples,,,,
5074,13421,DirectlySamples,,,Dream Pop,1994
5074,2510,InterpolatesFrom,,,Dream Pop,1981
5075,12091,CoverOf,Blues Rock,2021,Southern Gothic Rock,1997
5075,15443,LyricalReferenceTo,Blues Rock,2021,Southern Gothic Rock,2023
5088,15024,InStyleOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2013
5088,2479,InStyleOf,Lo-Fi Electronica,2026,Indie Rock,2009
5088,10417,LyricalReferenceTo,Lo-Fi Electronica,2026,Lo-Fi Electronica,2010
5088,12489,CoverOf,Lo-Fi Electronica,2026,,
5088,11677,InStyleOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2009
5088,13985,DirectlySamples,Lo-Fi Electronica,2026,Lo-Fi Electronica,2013
5088,966,InStyleOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2003
5088,1466,LyricalReferenceTo,Lo-Fi Electronica,2026,Lo-Fi Electronica,2015
5088,11467,LyricalReferenceTo,Lo-Fi Electronica,2026,Lo-Fi Electronica,2013
5088,14768,CoverOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2005
5088,827,InterpolatesFrom,Lo-Fi Electronica,2026,Lo-Fi Electronica,2006
5088,2848,LyricalReferenceTo,Lo-Fi Electronica,2026,Lo-Fi Electronica,2010
5089,13563,InStyleOf,Indie Folk,2020,,
5089,3025,CoverOf,Indie Folk,2020,Oceanus Folk,2017
5089,14762,InStyleOf,Indie Folk,2020,Oceanus Folk,2017
5096,11945,InStyleOf,Synthwave,2026,Doom Metal,2007
5096,16432,CoverOf,Synthwave,2026,,
5096,10673,CoverOf,Synthwave,2026,Doom Metal,2013
5100,3501,InterpolatesFrom,Oceanus Folk,2010,Oceanus Folk,2007
5100,13324,CoverOf,Oceanus Folk,2010,Oceanus Folk,2004
5109,6245,LyricalReferenceTo,Emo/Pop Punk,2004,Emo/Pop Punk,1989
5109,14671,LyricalReferenceTo,Emo/Pop Punk,2004,Emo/Pop Punk,2002
5109,3779,InterpolatesFrom,Emo/Pop Punk,2004,Blues Rock,1987
5109,11240,InStyleOf,Emo/Pop Punk,2004,Emo/Pop Punk,2004
5111,6245,InStyleOf,,,Emo/Pop Punk,1989
5113,5952,CoverOf,Indie Rock,2026,Indie Rock,2024
5113,2486,LyricalReferenceTo,Indie Rock,2026,Doom Metal,2023
5113,12104,InterpolatesFrom,Indie Rock,2026,,
5113,1611,InterpolatesFrom,Indie Rock,2026,Indie Rock,2015
5113,16202,CoverOf,Indie Rock,2026,Synthwave,2018
5113,6106,DirectlySamples,Indie Rock,2026,Indie Folk,2020
5119,16719,DirectlySamples,Psychedelic Rock,2011,,
5126,6427,LyricalReferenceTo,Indie Folk,2026,,
5131,8888,InStyleOf,,,Indie Rock,2010
5146,16233,InterpolatesFrom,Darkwave,2026,Psychedelic Rock,2004
5146,6702,LyricalReferenceTo,Darkwave,2026,Darkwave,2024
5146,9777,LyricalReferenceTo,Darkwave,2026,Darkwave,2002
5146,3869,InStyleOf,Darkwave,2026,Darkwave,2010
5159,15325,InStyleOf,Desert Rock,2029,,
5165,1611,InStyleOf,Doom Metal,2020,Indie Rock,2015
5165,3362,CoverOf,Doom Metal,2020,Synthwave,2022
5173,8498,LyricalReferenceTo,,,,
5173,13287,InterpolatesFrom,,,Synthwave,2024
5173,10421,CoverOf,,,Dream Pop,2023
5178,15241,InStyleOf,Lo-Fi Electronica,2027,Avant-Garde Folk,2025
5178,6443,InStyleOf,Lo-Fi Electronica,2027,Indie Rock,2026
5181,6006,LyricalReferenceTo,Dream Pop,2018,Doom Metal,2004
5181,13574,CoverOf,Dream Pop,2018,Synthwave,2008
5188,12719,InStyleOf,Synthwave,2012,Dream Pop,1990
5195,8886,CoverOf,Dream Pop,2027,Synthwave,1997
5203,4749,InterpolatesFrom,Emo/Pop Punk,2007,,
5204,9884,LyricalReferenceTo,,,Psychedelic Rock,2009
5214,827,CoverOf,Lo-Fi Electronica,2012,Lo-Fi Electronica,2006
5214,12517,LyricalReferenceTo,Lo-Fi Electronica,2012,Lo-Fi Electronica,2007
5216,1333,InStyleOf,Jazz Surf Rock,2018,Jazz Surf Rock,2010
5216,6967,CoverOf,Jazz Surf Rock,2018,Jazz Surf Rock,2008
5232,5704,InStyleOf,Emo/Pop Punk,2009,Emo/Pop Punk,1995
5232,10515,CoverOf,Emo/Pop Punk,2009,Indie Pop,1992
5232,14671,LyricalReferenceTo,Emo/Pop Punk,2009,Emo/Pop Punk,2002
5232,6245,InStyleOf,Emo/Pop Punk,2009,Emo/Pop Punk,1989
5232,3779,CoverOf,Emo/Pop Punk,2009,Blues Rock,1987
5238,2048,LyricalReferenceTo,Jazz Surf Rock,2016,Jazz Surf Rock,1995
5243,14514,LyricalReferenceTo,Jazz Surf Rock,2027,Indie Folk,2017
5254,6575,InterpolatesFrom,Blues Rock,2028,Symphonic Metal,2024
5254,233,InterpolatesFrom,Blues Rock,2028,Doom Metal,2013
5254,5425,InStyleOf,Blues Rock,2028,Doom Metal,2013
5264,12792,InterpolatesFrom,Doom Metal,2007,Dream Pop,2005
5264,11767,CoverOf,Doom Metal,2007,Oceanus Folk,2004
5265,13430,InterpolatesFrom,,,Speed Metal,1991
5265,8872,LyricalReferenceTo,,,Speed Metal,1993
5267,14762,InStyleOf,Space Rock,2027,Oceanus Folk,2017
5273,4095,CoverOf,Dream Pop,2025,Indie Rock,2010
5276,1350,CoverOf,Indie Folk,2013,Dream Pop,2007
5276,9186,InStyleOf,Indie Folk,2013,Oceanus Folk,2011
5283,3407,InStyleOf,Indie Pop,2003,Southern Gothic Rock,1987
5285,14210,InterpolatesFrom,,,Jazz Surf Rock,2000
5285,13421,InStyleOf,,,Dream Pop,1994
5285,2510,InStyleOf,,,Dream Pop,1981
5300,4541,CoverOf,Psychedelic Rock,2027,Psychedelic Rock,2023
5300,3991,InterpolatesFrom,Psychedelic Rock,2027,Synthwave,2021
5307,5687,InStyleOf,Doom Metal,2013,Indie Folk,2010
5307,13341,InStyleOf,Doom Metal,2013,Doom Metal,2013
5310,5425,CoverOf,Indie Rock,2024,Doom Metal,2013
5310,15383,LyricalReferenceTo,Indie Rock,2024,Doom Metal,2007
5318,10358,LyricalReferenceTo,Doom Metal,2019,,
5318,9007,InStyleOf,Doom Metal,2019,Doom Metal,2004
5322,438,InterpolatesFrom,,,Dream Pop,2010
5325,15622,LyricalReferenceTo,,,Doom Metal,1997
5325,6006,LyricalReferenceTo,,,Doom Metal,2004
5335,12273,InterpolatesFrom,Blues Rock,2013,,
5335,16720,InterpolatesFrom,Blues Rock,2013,Blues Rock,2000
5339,13758,CoverOf,Indie Folk,2026,Indie Folk,2013
5356,11377,InterpolatesFrom,Psychedelic Rock,2016,Psychedelic Rock,2010
5361,13196,InterpolatesFrom,Emo/Pop Punk,2026,,
5361,11142,InStyleOf,Emo/Pop Punk,2026,Indie Pop,1992
5361,14834,InStyleOf,Emo/Pop Punk,2026,Indie Pop,2017
5361,11984,LyricalReferenceTo,Emo/Pop Punk,2026,Blues Rock,1991
5361,15104,CoverOf,Emo/Pop Punk,2026,Southern Gothic Rock,2016
5361,4411,InterpolatesFrom,Emo/Pop Punk,2026,,
5361,11878,CoverOf,Emo/Pop Punk,2026,Alternative Rock,2023
5361,1121,CoverOf,Emo/Pop Punk,2026,Southern Gothic Rock,1997
5364,4541,InStyleOf,Dream Pop,2027,Psychedelic Rock,2023
5364,14080,CoverOf,Dream Pop,2027,Dream Pop,2026
5376,1841,InterpolatesFrom,Desert Rock,2022,Indie Folk,2010
5376,6006,InStyleOf,Desert Rock,2022,Doom Metal,2004
5386,12910,CoverOf,Oceanus Folk,2013,,
5389,15622,CoverOf,Post-Apocalyptic Folk,2020,Doom Metal,1997
5389,16163,InStyleOf,Post-Apocalyptic Folk,2020,Post-Apocalyptic Folk,2013
5389,9884,InterpolatesFrom,Post-Apocalyptic Folk,2020,Psychedelic Rock,2009
5389,16367,LyricalReferenceTo,Post-Apocalyptic Folk,2020,Darkwave,2020
5389,14322,InStyleOf,Post-Apocalyptic Folk,2020,Post-Apocalyptic Folk,2013
5389,11300,LyricalReferenceTo,Post-Apocalyptic Folk,2020,,
5394,14599,InStyleOf,Americana,2027,Americana,2019
5394,431,LyricalReferenceTo,Americana,2027,,
5394,11568,LyricalReferenceTo,Americana,2027,Synthpop,2020
5394,3464,InterpolatesFrom,Americana,2027,Doom Metal,2006
5396,6368,LyricalReferenceTo,,,Synthwave,1994
5407,3512,LyricalReferenceTo,Avant-Garde Folk,2023,Indie Pop,2013
5407,12344,InterpolatesFrom,Avant-Garde Folk,2023,Alternative Rock,2021
5407,6864,InterpolatesFrom,Avant-Garde Folk,2023,Avant-Garde Folk,2017
5407,1018,InStyleOf,Avant-Garde Folk,2023,Alternative Rock,2008
5407,1853,DirectlySamples,Avant-Garde Folk,2023,Avant-Garde Folk,2011
5407,7012,InStyleOf,Avant-Garde Folk,2023,,
5410,1841,DirectlySamples,Indie Folk,2023,Indie Folk,2010
5415,7116,LyricalReferenceTo,Darkwave,2028,Doom Metal,2007
5415,5288,DirectlySamples,Darkwave,2028,,
5415,14118,InStyleOf,Darkwave,2028,Indie Folk,2017
5425,8888,InterpolatesFrom,Doom Metal,2013,Indie Rock,2010
5438,13800,InterpolatesFrom,Dream Pop,2028,Psychedelic Rock,2019
5452,7572,InStyleOf,Doom Metal,2007,,
5455,4510,InStyleOf,Southern Gothic Rock,1999,Emo/Pop Punk,1990
5457,3501,InterpolatesFrom,Oceanus Folk,2017,Oceanus Folk,2007
5457,1841,CoverOf,Oceanus Folk,2017,Indie Folk,2010
5460,11768,DirectlySamples,Psychedelic Rock,2024,Dream Pop,2024
5469,4926,InStyleOf,Indie Pop,2020,Southern Gothic Rock,2015
5477,10673,InterpolatesFrom,Americana,2026,Doom Metal,2013
5480,11327,InStyleOf,Lo-Fi Electronica,2018,Lo-Fi Electronica,1998
5480,12373,InStyleOf,Lo-Fi Electronica,2018,Lo-Fi Electronica,2005
5480,966,InStyleOf,Lo-Fi Electronica,2018,Lo-Fi Electronica,2003
5480,8680,DirectlySamples,Lo-Fi Electronica,2018,,
5483,14086,CoverOf,Synthwave,2023,Doom Metal,2005
5483,12538,InterpolatesFrom,Synthwave,2023,,
5489,11097,InterpolatesFrom,,,Darkwave,2019
5492,4728,DirectlySamples,Indie Folk,2023,,
5492,7116,InStyleOf,Indie Folk,2023,Doom Metal,2007
5492,12245,InStyleOf,Indie Folk,2023,Indie Folk,2017
5492,14118,DirectlySamples,Indie Folk,2023,Indie Folk,2017
5492,14872,LyricalReferenceTo,Indie Folk,2023,Indie Folk,2020
5507,5295,InStyleOf,Americana,2017,,
5514,6006,CoverOf,Doom Metal,2023,Doom Metal,2004
5514,8888,InStyleOf,Doom Metal,2023,Indie Rock,2010
5519,4501,InStyleOf,Indie Folk,2013,Doom Metal,2007
5526,6250,LyricalReferenceTo,Southern Gothic Rock,2023,Southern Gothic Rock,2017
5527,1642,InStyleOf,Psychedelic Rock,2017,Desert Rock,2013
5530,4046,LyricalReferenceTo,Desert Rock,2026,,
5540,1057,LyricalReferenceTo,Dream Pop,2023,,
5540,5432,CoverOf,Dream Pop,2023,Synthwave,2004
5546,15702,InStyleOf,Speed Metal,2000,Speed Metal,1985
5546,11572,CoverOf,Speed Metal,2000,Speed Metal,1995
5546,4861,InterpolatesFrom,Speed Metal,2000,Speed Metal,1996
5546,14094,InStyleOf,Speed Metal,2000,Speed Metal,1998
5547,10673,InStyleOf,Synthwave,2023,Doom Metal,2013
5556,6074,InStyleOf,,,Southern Gothic Rock,2023
5556,10158,LyricalReferenceTo,,,Southern Gothic Rock,2028
5559,15622,InStyleOf,Synthpop,2023,Doom Metal,1997
5559,10484,LyricalReferenceTo,Synthpop,2023,,
5559,10361,InterpolatesFrom,Synthpop,2023,Post-Apocalyptic Folk,2011
5559,10105,InStyleOf,Synthpop,2023,Oceanus Folk,2020
5559,3467,LyricalReferenceTo,Synthpop,2023,,
5559,9249,CoverOf,Synthpop,2023,Indie Folk,2013
5559,14987,LyricalReferenceTo,Synthpop,2023,Doom Metal,2017
5559,9928,LyricalReferenceTo,Synthpop,2023,Americana,2017
5559,4046,InStyleOf,Synthpop,2023,,
